,DEE,DEG,DEF,AZ-ABS,AZ-MAS,AZ-AST,AZ-XAC,AZ-QUS,AT34,BABRC,FRE2,ITF6,ITF1,ITH4,NL23,NL13,PL61,PL81,PL43,PL82,PL84,PT15,ES41,ES42,ES21,SE32,UKC2,UKE4,UKG1,UKG2,UKJ4,UKJ2,UKL1,UKM9,UKM8
PL84,10.472841574513811,11.027531211948201,10.087763359291996,10.251910911082852,11.423127807337107,11.594922763104828,10.682815032392492,11.498534711786652,9.165776256250409,9.904468392641583,10.662705311348061,9.303779207642252,9.628560593728162,9.916585009269985,9.676060681680196,10.265993229337806,10.039282581121677,8.889810986910403,9.816415273136332,8.640461245002447,0.0,10.535497866816943,9.759470344692344,11.792500726954298,10.007318624668068,10.491163890343717,9.676218223539145,9.754950332244853,9.775728150296244,9.885067351240158,9.426025457280042,10.072964734526265,11.05355479985077,10.623804970918298,10.632967407507904
PT15,9.540876008830393,10.267483345579796,9.257426984313335,10.683187107097622,11.15780393642618,11.304343398777695,11.338513034712655,11.247529548507005,9.13928524049757,11.690198056557998,9.39240200009803,10.656223594404942,9.423621780788297,10.451578238195191,9.155609860778371,8.7633536220316,11.540293729358572,10.481958795338562,12.001529363699872,10.915331505589139,10.535497866816943,0.0,9.953944548078875,12.572226331362746,9.098793223840445,8.865381598320155,9.716634502682446,8.849420791058574,8.761271761276152,8.77996920000716,8.772933428455588,8.767598721966056,9.895901313896774,9.04838357807646,9.318161787871961
ES41,10.379723014764965,10.609754070631581,9.611028405506259,11.289812357092103,10.76468261651264,10.963181216610879,10.756103338317264,11.144605285074453,9.60961014826652,10.692918492624631,10.174020577819611,9.977146549046065,9.844487748089623,10.05439730077143,9.747736091331841,9.63904406554618,10.592337276374568,10.020217947374414,10.538457654023091,9.630675461552295,9.759470344692344,9.953944548078875,0.0,11.129389031046939,9.022759646660745,9.623448293481475,9.473701997430114,9.432461524074817,9.350941114831977,9.641630018397807,9.291053411259517,9.296444194526353,9.853523588120845,9.746329570097734,9.87491559821035
ES42,13.016800190723032,12.652277144734771,11.728762286786598,12.747669583963766,10.514934423929512,10.39978154819283,10.861108254487943,12.186852947457469,12.237645514662127,13.347391896357399,11.776602284569341,10.969495737094807,12.247833130031113,11.773974746241667,11.108531129524907,11.100065137155482,11.794591400204748,11.772675131591635,12.680393909380115,11.375004382345795,11.792500726954298,12.572226331362746,11.129389031046939,0.0,10.14643897265705,11.709473808452822,11.216005281450071,11.524671735809381,10.967477763946048,11.825407666039393,11.0606685127273,10.869236777071897,11.206944619521586,11.486817408090646,11.305813775638516
ES21,9.49973044879336,9.771097817772832,8.983629186983134,10.963407933990252,10.204348745882262,10.331004615364195,10.399309629008691,10.33262218503183,9.57568519452042,10.325150494692107,8.990114088963638,9.662097043093786,9.914922896619359,9.297693900076444,8.64678263172633,8.708216514425082,9.949556760459933,9.98360202199391,10.402449104884246,9.777940805131365,10.007318624668068,9.098793223840445,9.022759646660745,10.14643897265705,0.0,8.783452839418988,8.66245058485525,8.747079089986116,8.219065880774838,8.676620343897394,8.304029432732282,8.402659827916496,8.339904194077723,8.181622532314377,8.649468668671034
SE32,9.396601088952211,9.088753665610996,8.702294521897606,11.699562110762182,11.73589453775709,12.003179807466697,11.579359267818264,11.456924802344377,9.153438435836664,11.45043422088921,10.026572399360449,10.359325605996284,10.245441956809792,10.186916534428404,8.947441666539705,8.082513688015425,11.241037132013943,10.388329454472117,11.95772700116021,10.873467700153958,10.491163890343717,8.865381598320155,9.623448293481475,11.709473808452822,8.783452839418988,0.0,9.76087583432595,9.221163684773138,8.657744809349767,8.623930489622127,9.021758297169628,8.701901056297855,9.79630835301845,9.103577737676996,9.430087011327839
UKC2,9.769368030502005,10.019291461632301,9.508849290204415,11.70118642366907,11.51726028007986,11.597451359885099,11.060352488340373,11.154884717343641,9.697384817669311,10.393797291609934,9.589957866260352,9.983732351401455,9.89845656069677,9.626951895232587,8.758107503057852,9.04166550041081,10.287870348724063,10.060642307200107,10.402593503598862,9.862106522700081,9.676218223539145,9.716634502682446,9.473701997430114,11.216005281450071,8.66245058485525,9.76087583432595,0.0,8.89885656113264,9.042409801665407,9.11954626788748,8.687129421145482,8.53137068194725,9.483452500632177,8.829532554919261,9.236204612853905
UKE4,9.278425155944984,9.552624809546181,8.857846122639453,11.697303013013553,11.622994963936026,11.713551980023029,11.55297880187988,11.217715798496885,9.160769750123276,10.383891075031595,9.33071572717657,9.840625849656869,9.716021635044527,9.51310005505088,8.687976644670664,8.76842980815835,10.217976045577004,9.89904131076415,10.599531708949986,10.183230136926603,9.754950332244853,8.849420791058574,9.432461524074817,11.524671735809381,8.747079089986116,9.221163684773138,8.89885656113264,0.0,8.70491881055694,8.614969735291053,8.314904817612689,8.510097288428817,9.231064304532552,8.454891785376311,8.663689798633483
UKG1,9.639985485569,9.580995861292124,8.53421319826057,11.351288675730297,10.934184355319097,11.218350836494857,11.412897556307392,11.234740324241061,9.033299403587856,10.826352372144948,9.500525027676279,10.119680828257534,9.336386848000046,9.336558973490048,8.608072342695431,8.488453682125407,10.35092899282314,9.822987817053999,10.895775921352593,9.851315744788955,9.775728150296244,8.761271761276152,9.350941114831977,10.967477763946048,8.219065880774838,8.657744809349767,9.042409801665407,8.70491881055694,0.0,8.18710938395148,8.234508297111105,7.8914900235641126,8.675054212004817,8.45558484988569,8.473696098334676
UKG2,9.017243100164102,9.10132688544684,8.998624254718283,11.401434521760816,11.833725103023086,12.003690997963233,11.752716025029088,10.696487385573182,8.86588325105938,10.926988195135824,9.481367511373968,9.898768943594824,9.675758730600005,9.903470461783705,8.4848991548272,8.277427278979077,10.616214914555519,9.844825900444633,11.082383868596311,9.967752394572226,9.885067351240158,8.77996920000716,9.641630018397807,11.825407666039393,8.676620343897394,8.623930489622127,9.11954626788748,8.614969735291053,8.18710938395148,0.0,8.370289201249868,8.251674670748972,9.428026603879845,8.68286496683052,8.904750014352656
UKJ4,9.23370981402139,9.65382769643405,8.756927158220755,10.895145547134804,11.099239186350617,11.242632268034486,10.599165185117867,10.67504977661397,8.920102482913732,10.154194590555974,9.287697644125732,9.480236039730645,9.412750820748865,8.918579352875055,8.445344193435218,8.69073802617476,10.158904128659684,9.487337613876806,10.400578399481832,9.646759212060207,9.426025457280042,8.772933428455588,9.291053411259517,11.0606685127273,8.304029432732282,9.021758297169628,8.687129421145482,8.314904817612689,8.234508297111105,8.370289201249868,0.0,8.164258585093352,9.014301245212863,8.408682925451311,8.674117455766957
UKJ2,9.385232435079807,9.18443064747007,8.658366082484607,11.544428261367242,11.302643344613266,11.418224225239332,11.271461753681312,11.160152567888497,9.247437341969237,10.968475681316457,9.60198736153208,10.165073068840526,10.103678655856479,9.458489258259151,8.57964237364539,8.38052764153187,10.341041226478792,9.891077341117931,10.922471987873687,10.238046048215981,10.072964734526265,8.767598721966056,9.296444194526353,10.869236777071897,8.402659827916496,8.701901056297855,8.53137068194725,8.510097288428817,7.8914900235641126,8.251674670748972,8.164258585093352,0.0,8.87973216589962,8.474032934886282,8.381994428034462
UKL1,10.277989789288293,10.292754485067801,9.61724761192259,12.65602143606218,11.689939688054668,11.600389564293005,11.751245443432522,11.67778852058894,10.530659010431883,11.050281936281408,9.40572041373507,10.752610537034364,10.538220289553777,9.791501265153908,9.650292731281786,9.490924511060928,10.992018887261903,10.668967862752341,11.405744343257913,11.001266112462346,11.05355479985077,9.895901313896774,9.853523588120845,11.206944619521586,8.339904194077723,9.79630835301845,9.483452500632177,9.231064304532552,8.675054212004817,9.428026603879845,9.014301245212863,8.87973216589962,0.0,8.363907738051063,8.662115687383114
UKM9,9.892492873815602,9.841064216061936,9.044930800416202,12.129471415060523,11.504480220326801,11.720885242377483,11.868072177017918,11.23376473044093,9.987860425050634,11.001132349145848,9.324660623237454,10.56929756996268,10.178231047439303,9.407310593167525,8.656704751390295,8.885540570215674,10.401701075993913,10.42463982348368,10.937408292991469,10.583464052204825,10.623804970918298,9.04838357807646,9.746329570097734,11.486817408090646,8.181622532314377,9.103577737676996,8.829532554919261,8.454891785376311,8.45558484988569,8.68286496683052,8.408682925451311,8.474032934886282,8.363907738051063,0.0,8.69367377032308
UKM8,9.754961104335878,9.705335771053832,8.877781243413134,12.221489055769625,11.701663383125466,11.611636166986965,11.533349483424583,11.639719569550959,9.91422872231594,10.86604466335161,9.393942904232444,10.655906068277677,10.43887486650495,9.48401827272395,9.263017388245789,9.285306390051783,10.350317479143056,10.252099694606528,10.612514933416476,10.62711878756753,10.632967407507904,9.318161787871961,9.87491559821035,11.305813775638516,8.649468668671034,9.430087011327839,9.236204612853905,8.663689798633483,8.473696098334676,8.904750014352656,8.674117455766957,8.381994428034462,8.662115687383114,8.69367377032308,0.0
