Gemeinde;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08216006 Bischweier;2322;1444;878;0;1564;825;12;1552;520;362;157;180;133;50;;;18;63;;;;26;;;15;;;22;6;
08216007 Bühl, Stadt;21382;14245;7137;0;13929;6776;93;13836;4668;3930;1037;1587;1147;380;91;;;459;;;;366;;;116;;;;55;
08216008 Bühlertal;5898;3643;2255;0;3817;2139;20;3797;1161;1255;296;375;262;68;27;;;144;;;;160;;;33;;;;16;
08216009 Durmersheim;9069;6047;3022;0;5429;2878;78;5351;1801;1153;694;639;422;189;;;83;171;;;;62;;;63;;;38;36;
08216012 Elchesheim-Illingen;2537;1682;855;0;1646;801;3;1643;525;417;201;174;111;69;;;22;46;;;;35;;;23;;;12;8;
08216013 Forbach;3510;2233;1277;0;2329;1218;28;2301;598;699;232;405;143;51;;;21;100;;;;12;;;13;;;14;13;
08216015 Gaggenau, Stadt;20790;13652;7138;0;13442;6778;123;13319;4124;3056;1542;1871;1195;324;;;154;585;;;;180;;;113;;;85;90;
08216017 Gernsbach, Stadt;10391;6850;3541;0;6553;3322;60;6493;2133;1562;664;930;507;190;;;59;219;;;;98;;;69;;;30;32;
08216022 Hügelsheim;3353;2579;774;0;1837;719;17;1820;422;613;302;161;126;54;8;;;86;;;;27;;;12;;;;9;
08216023 Iffezheim;3935;2517;1418;0;2652;1370;23;2629;890;659;249;308;204;46;;;27;153;;;;37;;;28;;;13;15;
08216024 Kuppenheim, Stadt;5979;4075;1904;0;3793;1817;31;3762;1221;883;405;439;291;102;;;49;183;;;;42;;;39;;;43;65;
08216028 Lichtenau, Stadt;3679;2464;1215;0;2345;1154;23;2322;689;629;271;272;189;69;24;;;98;;;;52;;;21;;;;8;
08216029 Loffenau;1948;1342;606;0;1233;579;11;1222;377;279;121;191;117;28;;;13;45;;;;23;;;15;;;12;1;
08216033 Muggensturm;4606;2828;1778;0;3075;1672;30;3045;978;625;369;490;262;73;;;38;103;;;;38;;;37;;;22;10;
08216039 Ötigheim;3759;2484;1275;0;2475;1222;13;2462;624;899;257;250;196;40;;;27;83;;;;37;;;31;;;14;4;
08216041 Ottersweier;4830;2929;1901;0;3354;1839;27;3327;787;1050;234;707;193;51;31;;;109;;;;130;;;24;;;;11;
08216043 Rastatt, Stadt;32708;25263;7445;0;16035;6962;157;15878;4409;3464;2674;2267;1142;539;;;262;523;;;;221;;;184;;;87;106;
08216049 Sinzheim;8631;5200;3431;0;5828;3260;38;5790;1863;1565;603;679;512;121;32;;;214;;;;101;;;46;;;;54;
08216052 Steinmauern;2353;1549;804;0;1406;754;10;1396;397;390;200;157;106;35;;;19;40;;;;18;;;18;;;10;6;
08216059 Weisenbach;1832;1151;681;0;1263;652;14;1249;344;388;93;176;112;33;;;16;51;;;;19;;;10;;;3;4;
08216063 Rheinmünster;5193;3330;1863;0;3267;1746;28;3239;905;953;363;385;246;98;29;;;156;;;;59;;;31;;;;14;
08221000 Heidelberg, Stadt;98968;59462;39506;0;66562;36991;294;66268;27607;10139;3434;8386;4649;5582;426;;1240;972;;;;584;;;1514;;;282;1453;
08222000 Mannheim, Universitätsstadt;195960;131440;64520;;111513;60611;867;110646;35986;17807;10998;20286;9049;6450;466;;2201;2912;;;;934;;;1556;;;528;1245;228
08225001 Adelsheim, Stadt;3526;2602;924;0;2035;868;17;2018;478;663;291;209;149;57;17;;;61;;;;;;;8;;;68;17;
08225002 Aglasterhausen;3638;2171;1467;0;2297;1401;21;2276;582;609;331;300;193;62;44;;;74;;;;;;;14;;;54;13;
08225009 Billigheim;4435;2956;1479;0;2948;1411;29;2919;579;925;352;488;222;58;16;;;113;;;;;;;12;;;126;28;
08225010 Binau;1073;687;386;0;706;376;3;703;155;198;75;142;49;15;7;;;30;;;;;;;0;;;31;1;
08225014 Buchen (Odenwald), Stadt;13613;9847;3766;0;8150;3514;70;8080;2051;2630;1004;691;732;179;71;;;327;;;;;;;51;;;278;66;
08225024 Fahrenbach;2183;1473;710;0;1484;678;12;1472;265;494;211;183;135;28;12;;;51;;;;;;;3;;;80;10;
08225032 Hardheim;5033;3164;1869;0;3168;1786;43;3125;660;1279;291;283;231;66;32;;;172;;;;;;;24;;;68;19;
08225033 Haßmersheim;3584;2447;1137;0;2243;1087;23;2220;508;585;308;331;215;65;25;;;90;;;;;;;13;;;72;8;
08225039 Höpfingen;2336;1466;870;0;1504;846;22;1482;332;543;154;166;101;33;15;;;77;;;;;;;12;;;36;13;
08225042 Hüffenhardt;1585;1125;460;0;1065;440;11;1054;197;230;227;152;118;24;12;;;44;;;;;;;5;;;40;5;
08225052 Limbach;3480;2379;1101;0;2376;1054;13;2363;585;884;239;223;153;38;11;;;89;;;;;;;8;;;118;15;
08225058 Mosbach, Stadt;16872;11493;5379;0;9834;5004;67;9767;2649;2664;1066;1413;862;302;98;;;258;;;;;;;64;;;324;67;
08225060 Mudau;3880;2772;1108;0;2683;1058;25;2658;620;1092;296;175;192;37;25;;;97;;;;;;;12;;;77;35;
08225064 Neckargerach;1781;1088;693;0;1183;652;19;1164;266;361;106;234;71;38;15;;;27;;;;;;;6;;;34;6;
08225067 Neckarzimmern;1060;782;278;0;593;263;7;586;158;138;80;93;44;23;4;;;17;;;;;;;2;;;21;6;
08225068 Neunkirchen;1429;926;503;0;961;470;4;957;235;271;105;156;79;28;13;;;30;;;;;;;10;;;20;10;
08225074 Obrigheim;3767;2515;1252;0;2308;1164;21;2287;532;634;314;323;189;57;29;;;107;;;;;;;13;;;83;6;
08225075 Osterburken, Stadt;4770;3521;1249;0;2742;1175;30;2712;587;913;384;295;225;67;21;;;83;;;;;;;19;;;106;12;
08225082 Rosenberg;1593;1164;429;0;1095;411;10;1085;298;298;116;134;98;45;12;;;30;;;;;;;9;;;39;6;
08225091 Seckach;3020;2148;872;0;1809;822;17;1792;465;537;244;202;94;29;22;;;57;;;;;;;37;;;89;16;
08225109 Walldürn, Stadt;8802;6202;2600;0;5192;2463;50;5142;964;1766;758;510;336;113;33;;;482;;;;;;;19;;;134;27;
08225113 Zwingenberg;547;360;187;0;415;184;6;409;141;94;50;68;23;10;3;;;13;;;;;;;2;;;4;1;
08225114 Ravenstein, Stadt;2208;1715;493;0;1640;473;19;1621;327;651;223;121;128;21;14;;;57;;;;;;;9;;;62;8;
08225115 Schefflenz;3070;1933;1137;0;2113;1080;15;2098;490;547;229;293;142;50;26;;;58;;;;;;;7;;;251;5;
08225116 Schwarzach;2265;1501;764;0;1160;733;6;1154;295;328;101;172;95;30;59;;;40;;;;;;;6;;;20;8;
08225117 Elztal;4572;2456;2116;0;2969;2033;19;2950;710;843;409;344;241;58;25;;;118;;;;;;;18;;;166;18;
08225118 Waldbrunn;3803;1899;1904;0;2376;1796;21;2355;589;830;241;373;147;54;10;;;47;;;;;;;9;;;42;13;
08226003 Altlußheim;4465;2746;1719;0;2765;1608;34;2731;747;651;319;470;207;66;15;;49;134;;;;32;;;19;;;22;;
08226006 Bammental;4783;2889;1894;0;3361;1816;24;3337;970;1300;257;314;172;115;18;;;41;;5;;24;;;33;;;56;32;
08226009 Brühl;10870;7496;3374;0;6574;3132;79;6495;1912;1535;772;1016;525;147;29;;134;255;;;;43;;;42;;;85;;
08226010 Dielheim;6845;4234;2611;0;4730;2506;62;4668;1117;1546;609;518;408;107;21;;95;96;;;;56;;;34;;;35;26;
08226012 Dossenheim;9072;5463;3609;0;6780;3483;33;6747;2530;1635;316;794;495;420;43;;118;112;;;;64;;;87;;;17;116;
08226013 Eberbach, Stadt;10300;6104;4196;0;5625;3979;42;5583;1493;1049;490;1773;352;121;40;;;108;;12;;41;;;26;;;42;36;
08226017 Epfenbach;1853;1091;762;0;1221;726;6;1215;309;301;138;173;104;30;8;;;76;;23;;24;;;10;;;12;7;
08226018 Eppelheim, Stadt;10240;6747;3493;0;6282;3252;61;6221;2255;1199;495;1032;457;323;37;;138;133;;;;36;;;78;;;38;;
08226020 Eschelbronn;1851;1179;672;0;1215;650;8;1207;311;298;208;159;105;24;12;;;49;;10;;3;;;6;;;12;10;
08226022 Gaiberg;1762;1103;659;0;1276;634;5;1271;420;349;118;127;117;46;7;;;35;;4;;9;;;9;;;15;15;
08226027 Heddesbach;362;272;90;0;232;84;4;228;63;71;24;26;14;10;2;;;11;;0;;0;;;2;;;4;1;
08226028 Heddesheim;8816;5413;3403;0;5642;3248;72;5570;1717;1332;611;751;520;187;44;;93;142;;;;65;;;35;;;32;41;
08226029 Heiligkreuzsteinach;2031;1188;843;0;1240;813;13;1227;336;362;112;197;93;41;17;;;31;;5;;11;;;5;;;6;11;
08226031 Hemsbach, Stadt;8808;5788;3020;0;5484;2882;83;5401;1868;1172;525;722;441;183;25;;104;220;;;;51;;;29;;;34;27;
08226032 Hockenheim, Stadt;14837;10205;4632;0;8700;4370;111;8589;2584;2155;935;1272;637;270;44;;173;328;;;;73;;;55;;;63;;
08226036 Ilvesheim;6801;3629;3172;0;4608;3022;58;4550;1460;958;417;738;361;169;36;;78;188;;;;36;;;51;;;15;43;
08226037 Ketsch;9795;6166;3629;0;6348;3474;51;6297;1806;1588;722;893;560;174;64;;118;214;;;;53;;;54;;;51;;
08226038 Ladenburg, Stadt;8817;5270;3547;0;6271;3315;43;6228;2395;1437;404;818;482;197;49;;87;140;;;;102;;;59;;;22;36;
08226040 Laudenbach;4785;2991;1794;0;3280;1714;31;3249;1041;802;343;464;253;64;27;;60;103;;;;39;;;14;;;16;23;
08226041 Leimen, Stadt;18590;12871;5717;2;9771;5376;73;9698;2997;2227;1324;1154;868;357;48;;149;285;;;;85;;;54;;;69;81;
08226046 Malsch;2668;1546;1122;0;1915;1076;24;1891;550;512;222;160;185;42;12;;33;86;;;;30;;;12;;;32;15;
08226048 Mauer;3054;1927;1127;0;2226;1091;26;2200;686;642;194;268;202;53;13;;;58;;11;;13;;;14;;;27;19;
08226049 Meckesheim;3823;2290;1533;0;2571;1430;41;2530;691;709;360;265;270;51;20;;;68;;13;;12;;;20;;;34;17;
08226054 Mühlhausen;6315;3897;2418;0;4295;2313;49;4246;1140;1255;535;412;346;124;35;;73;171;;;;31;;;32;;;62;30;
08226055 Neckarbischofsheim, Stadt;2782;1658;1124;0;1735;1060;20;1715;478;431;251;206;177;41;16;;;54;;3;;11;;;14;;;22;11;
08226056 Neckargemünd, Stadt;9970;6243;3727;0;7038;3544;55;6983;2648;1490;497;995;550;347;35;;;166;;22;;57;;;62;;;42;72;
08226058 Neidenstein;1387;766;621;0;924;586;7;917;218;229;118;125;77;29;17;;;33;;16;;12;;;13;;;21;9;
08226059 Neulußheim;4974;3360;1614;0;3158;1541;35;3123;885;866;370;424;204;87;14;;53;148;;;;21;;;23;;;28;;
08226060 Nußloch;8369;5054;3315;0;5525;3172;56;5469;1752;1290;536;666;604;133;16;;86;149;;;;104;;;42;;;42;49;
08226062 Oftersheim;8787;5306;3481;0;5646;3346;62;5584;1824;1139;576;814;537;137;37;;92;299;;;;42;;;38;;;49;;
08226063 Plankstadt;7551;4789;2762;0;4933;2601;61;4872;1583;1173;500;669;430;148;34;;81;134;;;;44;;;39;;;37;;
08226065 Rauenberg, Stadt;6361;4076;2285;0;4256;2187;37;4219;1277;1163;487;394;411;93;21;;78;136;;;;43;;;44;;;48;24;
08226066 Reichartshausen;1568;1083;485;0;974;463;8;966;245;262;98;106;124;25;7;;;52;;4;;10;;;4;;;17;12;
08226068 Reilingen;5694;3188;2506;0;3694;2384;48;3646;1049;1053;365;497;287;78;20;;63;163;;;;27;;;10;;;34;;
08226076 Sandhausen;11237;7901;3336;0;7316;3156;74;7242;2202;1716;880;1056;722;185;36;;123;116;;;;57;;;68;;;33;48;
08226080 Schönau, Stadt;3283;2081;1202;0;1983;1127;16;1967;542;484;208;389;126;62;19;;;57;;3;;22;;;8;;;25;22;
08226081 Schönbrunn;2276;1365;911;0;1504;846;17;1487;362;411;173;259;126;43;10;;;60;;4;;6;;;12;;;15;6;
08226082 Schriesheim, Stadt;11181;6397;4784;0;8006;4578;62;7944;2681;1750;547;1357;649;287;61;;136;201;;;;136;;;55;;;16;68;
08226084 Schwetzingen, Stadt;15151;10209;4942;0;9187;4684;101;9086;3091;2007;863;1312;773;340;52;;178;241;;;;84;;;76;;;69;;
08226085 Sinsheim, Stadt;25273;17268;8005;0;14718;7517;151;14567;4069;3673;1937;1494;1690;371;170;;;519;;148;;134;;;97;;;150;115;
08226086 Spechbach;1329;781;548;0;906;530;14;892;278;229;109;108;73;16;6;;;36;;10;;6;;;2;;;5;14;
08226091 Waibstadt, Stadt;4009;2423;1586;0;2599;1514;25;2574;707;758;307;235;236;66;25;;;138;;8;;29;;;23;;;19;23;
08226095 Walldorf, Stadt;10477;6685;3792;0;7099;3625;63;7036;1974;2035;518;1173;691;182;25;;111;114;;;;48;;;53;;;56;56;
08226096 Weinheim, Stadt;31432;20106;11326;0;19932;10645;153;19779;7455;4307;1613;2352;1851;639;119;;307;583;;;;180;;;132;;;111;130;
08226097 Wiesenbach;2349;1457;892;0;1728;867;10;1718;593;475;131;216;154;38;10;;;41;;2;;9;;;12;;;21;16;
08226098 Wiesloch, Stadt;18471;12083;6388;0;11504;5971;74;11430;3687;2874;1070;1510;979;373;60;;189;257;;;;95;;;139;;;84;113;
08226099 Wilhelmsfeld;2367;1246;1121;0;1557;1055;12;1545;546;334;160;181;122;51;10;;;51;;5;;32;;;26;;;14;13;
08226101 Zuzenhausen;1614;1014;600;0;1097;582;9;1088;308;349;104;125;102;23;10;;;27;;6;;9;;;10;;;9;6;
08226102 Angelbachtal;3791;2121;1670;0;2482;1591;29;2453;716;655;293;245;239;51;48;;;92;;30;;19;;;24;;;22;19;
08226103 St. Leon-Rot;10033;5845;4188;0;6630;3988;74;6556;1822;2003;794;542;642;136;26;;100;255;;;;60;;;75;;;65;36;
08226104 Lobbach;1817;1230;587;0;1195;542;13;1182;302;336;134;149;121;39;9;;;39;;6;;9;;;3;;;26;9;
08226105 Edingen-Neckarhausen;10050;5466;4584;0;6947;4360;65;6882;2437;1499;534;949;570;305;67;;105;167;;;;60;;;77;;;47;65;
08226106 Helmstadt-Bargen;2854;2029;825;0;1800;769;12;1788;463;485;241;234;190;40;14;;;49;;18;;16;;;8;;;20;10;
08226107 Hirschberg an der Bergstraße;7408;4484;2924;0;5356;2746;44;5312;1916;1306;323;632;515;141;32;;74;228;;;;60;;;42;;;12;31;
08231000 Pforzheim, Stadt;74314;55774;18540;0;37953;17248;286;37667;9579;7433;6164;3815;6176;1350;235;;;1676;;;;;;;303;;;465;330;141
08235006 Altensteig, Stadt;7203;5138;2065;0;4451;1922;33;4418;1019;1362;677;354;488;117;43;;;240;;;;53;;;19;;;46;;
08235007 Althengstett;5735;3336;2399;0;4077;2305;19;4058;1186;1147;450;343;389;100;26;;;291;;;;40;;;31;;;55;;
08235008 Bad Liebenzell, Stadt;6686;4451;2235;0;4467;2123;29;4438;1249;1185;532;343;402;126;91;;;316;;;;56;;;39;;;99;;
08235018 Dobel;1797;1214;583;0;1069;564;6;1063;266;251;152;99;134;41;14;;;50;;;;18;;;10;;;28;;
08235020 Ebhausen;3313;2322;991;0;2160;941;15;2145;451;687;354;160;234;41;29;;;143;;;;15;;;15;;;16;;
08235022 Egenhausen;1535;1007;528;0;1071;514;9;1062;222;376;184;57;112;22;6;;;63;;;;6;;;8;;;6;;
08235025 Enzklösterle;900;560;340;0;647;326;6;641;139;249;69;37;60;4;39;;;21;;;;11;;;6;;;6;;
08235029 Gechingen;2676;1508;1168;0;1929;1130;20;1909;596;618;183;153;167;56;8;;;76;;;;19;;;13;;;20;;
08235032 Haiterbach, Stadt;3886;2736;1150;0;2518;1068;23;2495;472;839;473;153;295;49;14;;;113;;;;40;;;26;;;21;;
08235033 Bad Herrenalb, Stadt;5798;3735;2063;0;3438;1937;24;3414;1149;819;422;290;342;120;30;;;119;;;;33;;;38;;;52;;
08235035 Höfen an der Enz;1201;815;386;0;722;374;6;716;180;210;81;69;79;25;16;;;29;;;;8;;;5;;;14;;
08235046 Nagold, Stadt;15662;11068;4592;2;9311;4285;76;9235;2426;2536;1477;748;990;275;60;;;507;;;;83;;;65;;;68;;
08235047 Neubulach, Stadt;4215;2672;1543;0;2972;1465;23;2949;700;928;448;172;270;64;55;;;207;;;;55;;;22;;;28;;
08235050 Neuweiler;2477;1659;818;0;1730;768;6;1724;356;594;293;69;169;37;26;;;133;;;;10;;;22;;;15;;
08235055 Oberreichenbach;2292;1491;801;0;1609;763;15;1594;381;485;265;97;133;45;15;;;106;;;;12;;;20;;;35;;
08235057 Ostelsheim;1771;1055;716;0;1289;676;6;1283;423;340;117;87;165;29;8;;;76;;;;17;;;10;;;11;;
08235060 Rohrdorf;1347;1013;334;0;852;326;3;849;195;274;129;71;95;16;4;;;42;;;;12;;;6;;;5;;
08235065 Schömberg;5571;3746;1825;0;3419;1729;34;3385;999;854;448;316;360;71;41;;;164;;;;43;;;24;;;65;;
08235066 Simmersfeld;1648;1306;342;0;1108;327;7;1101;259;367;156;55;157;10;13;;;60;;;;7;;;13;;;4;;
08235067 Simmozheim;2060;1255;805;0;1432;777;7;1425;488;365;129;122;153;31;7;;;103;;;;12;;;9;;;6;;
08235073 Unterreichenbach;1649;1131;518;0;1037;478;4;1033;343;232;140;80;115;38;11;;;45;;;;13;;;12;;;4;;
08235079 Bad Wildbad, Stadt;7246;4934;2312;0;3972;2191;15;3957;1023;1245;491;356;375;137;73;;;150;;;;28;;;32;;;47;;
08235080 Wildberg, Stadt;7406;4399;3007;0;4953;2882;43;4910;1311;1583;595;344;496;100;38;;;334;;;;50;;;23;;;36;;
08235084 Bad Teinach-Zavelstein, Stadt;2357;1368;989;0;1597;950;6;1591;420;500;225;132;123;26;14;;;117;;;;11;;;6;;;17;;
08235085 Calw, Stadt;15423;10137;5286;0;9380;4995;57;9323;2932;2321;1033;795;791;340;56;;;801;;;;98;;;81;;;75;;
08236004 Birkenfeld;7420;4882;2538;0;4945;2405;50;4895;1321;1101;701;501;745;115;40;;;211;;;;;;;32;;;75;44;9
08236011 Eisingen;3479;2204;1275;0;2099;1207;16;2083;595;411;347;152;350;39;17;;;74;;37;;;;;10;;;29;22;
08236013 Engelsbrand;3420;2105;1315;0;2291;1251;7;2284;672;502;319;222;369;44;12;;;89;;;;;;;12;;;21;14;8
08236019 Friolzheim;2672;1641;1031;0;1880;985;14;1866;644;442;198;178;290;23;1;;;40;;14;;;;;11;;;11;14;
08236025 Heimsheim, Stadt;3502;2021;1481;0;2309;1418;16;2293;803;518;202;232;345;70;9;;;48;;13;;;;;17;;;19;17;
08236028 Illingen;5413;3122;2291;0;3691;2202;29;3662;1154;754;468;346;589;94;33;;;84;;24;;;;;29;;;70;17;
08236030 Ispringen;4324;2912;1412;0;2748;1352;30;2718;852;532;350;276;403;77;15;;;133;;;;;;;14;;;31;25;10
08236031 Kieselbronn;2266;1283;983;0;1609;942;15;1594;478;309;235;173;239;32;15;;;56;;;;;;;9;;;33;11;4
08236033 Knittlingen, Stadt;5561;3588;1973;0;3567;1887;26;3541;1190;607;517;360;527;90;28;;;81;;39;;;;;26;;;65;11;
08236038 Maulbronn, Stadt;4425;2885;1540;0;3076;1470;34;3042;993;534;381;319;480;83;27;;;67;;41;;;;;16;;;74;27;
08236039 Mönsheim;1981;1158;820;3;1434;798;6;1428;445;326;141;115;293;19;9;;;31;;13;;;;;10;;;11;15;
08236040 Mühlacker, Stadt;16368;11563;4805;0;10119;4506;80;10039;3225;1867;1283;1031;1654;258;66;;;229;;62;;;;;100;;;181;83;
08236043 Neuenbürg, Stadt;5496;3701;1795;0;3437;1678;36;3401;1092;618;509;321;488;99;20;;;114;;42;;;;;24;;;62;12;
08236044 Neuhausen;4089;2653;1436;0;2866;1378;30;2836;880;632;374;217;444;57;23;;;91;;12;;;;;26;;;50;30;
08236046 Niefern-Öschelbronn;8338;4900;3438;0;5167;3297;39;5128;1192;760;654;344;1781;77;31;;;111;;46;;;;;40;;;66;26;
08236050 Ötisheim;3447;2133;1314;0;2319;1271;27;2292;682;445;350;212;352;70;12;;;74;;9;;;;;21;;;42;23;
08236061 Sternenfels;2049;1211;838;0;1446;795;17;1429;475;226;179;194;211;43;15;;;22;;9;;;;;13;;;36;6;
08236062 Tiefenbronn;4065;2609;1456;0;2910;1410;17;2893;960;687;324;252;439;51;21;;;78;;17;;;;;22;;;26;16;
08236065 Wiernsheim;4984;2748;2236;0;3491;2123;25;3466;1019;627;438;290;761;79;39;;;78;;28;;;;;37;;;54;16;
08236067 Wimsheim;2030;1158;872;0;1510;839;7;1503;489;284;162;139;333;23;2;;;32;;10;;;;;10;;;13;6;
08236068 Wurmberg;2306;1459;847;0;1554;815;13;1541;422;374;270;103;246;20;11;;;41;;30;;;;;3;;;12;9;
08236070 Keltern;7106;4528;2578;0;4934;2464;58;4876;1585;1002;527;483;683;119;53;;;141;;84;;;;;52;;;114;33;
08236071 Remchingen;8885;5740;3145;0;5939;2957;42;5897;1695;1271;747;555;786;167;33;;;138;;322;;;;;44;;;113;26;
08236072 Straubenhardt;8620;5430;3190;0;5635;2989;40;5595;1845;1071;663;559;835;140;48;;;204;;42;;;;;52;;;89;47;
08236073 Neulingen;5007;3309;1698;0;3320;1616;27;3293;873;613;554;431;505;57;14;;;114;;36;;;;;18;;;64;14;
08236074 Kämpfelbach;4788;2814;1974;0;3381;1896;30;3351;989;704;414;354;473;70;13;;;187;;23;;;;;28;;;61;35;
08236075 Ölbronn-Dürrn;2612;1697;915;0;1760;855;12;1748;508;334;264;140;320;40;11;;;47;;24;;;;;23;;;29;8;
08236076 Königsbach-Stein;7671;4394;3277;0;4990;3101;25;4965;1611;938;657;478;751;110;31;;;189;;46;;;;;31;;;93;30;
08237002 Alpirsbach, Stadt;4698;3381;1317;0;2936;1241;27;2909;842;616;393;279;385;57;36;;;160;;50;;38;;;24;;;29;;
08237004 Baiersbronn;10878;7304;3574;0;6758;3384;35;6723;1499;2436;568;547;958;151;61;;;232;;58;;63;;;99;;;51;;
08237019 Dornstetten, Stadt;5898;4414;1484;0;3412;1407;24;3388;902;831;456;267;522;78;17;;;149;;45;;40;;;26;;;55;;
08237024 Empfingen;3061;1979;1082;0;1960;1024;17;1943;533;534;290;127;291;43;9;;;60;;6;;21;;;14;;;15;;
08237027 Eutingen im Gäu;4248;2778;1470;0;2876;1395;22;2854;751;734;394;241;484;60;15;;;95;;8;;26;;;21;;;25;;
08237028 Freudenstadt, Stadt;16497;11727;4770;0;9420;4485;58;9362;2578;2375;1077;886;1347;240;92;;;379;;118;;93;;;87;;;90;;
08237030 Glatten;1825;1408;417;0;1169;395;4;1165;212;323;203;82;184;17;5;;;84;;19;;7;;;6;;;23;;
08237032 Grömbach;472;472;0;0;218;0;3;215;37;63;36;12;36;8;3;;;13;;2;;3;;;1;;;1;;
08237040 Horb am Neckar, Stadt;17887;12554;5333;0;11278;5034;78;11200;2807;2798;1685;1091;1817;289;83;;;294;;51;;111;;;81;;;93;;
08237045 Loßburg;5818;4170;1648;0;3778;1524;28;3750;816;914;468;274;475;49;49;;;501;;81;;59;;;31;;;33;;
08237054 Pfalzgrafenweiler;5015;3764;1251;0;3324;1306;33;3291;759;920;468;234;459;71;35;;;152;;75;;64;;;22;;;32;;
08237061 Schopfloch;1979;1490;489;0;1378;470;11;1367;267;424;252;71;183;18;2;;;60;;31;;13;;;9;;;37;;
08237072 Wörnersberg;157;157;0;0;81;0;1;80;11;31;17;2;8;0;4;;;2;;2;;0;;;1;;;2;;
08237073 Seewald;1632;1187;445;0;1053;415;9;1044;206;350;153;60;170;20;9;;;26;;24;;7;;;10;;;9;;
08237074 Waldachtal;4458;3201;1257;0;2786;1192;29;2757;573;775;487;170;460;48;18;;;137;;25;;16;;;18;;;30;;
08237075 Bad Rippoldsau-Schapbach;1627;1095;532;0;1128;489;12;1116;341;366;70;110;115;20;8;;;45;;11;;10;;;16;;;4;;
08311000 Freiburg im Breisgau, Stadt;155874;93606;62266;2;105912;58588;430;105482;44308;12969;4774;13165;5935;12892;774;;2243;2631;;217;;1246;;;2503;;;530;1295;
08315003 Au;1074;623;451;0;841;424;4;837;373;164;39;68;67;57;5;;16;8;;;;21;;;15;;;4;;
08315004 Auggen;2007;1130;877;0;1269;833;6;1263;496;275;109;114;138;45;8;;23;28;;;;11;;;6;;;10;;
08315006 Bad Krozingen, Stadt;14656;9933;4723;0;8847;4413;67;8780;3375;2021;721;885;817;311;60;;139;217;;;;102;;;71;;;61;;
08315007 Badenweiler;3154;1966;1188;0;2105;1122;12;2093;809;444;152;230;206;76;8;;42;43;;;;44;;;21;;;18;;
08315008 Ballrechten-Dottingen;1827;1177;650;0;1354;624;6;1348;494;382;79;127;131;42;4;;24;30;;;;12;;;9;;;14;;
08315013 Bötzingen;3765;2559;1206;0;2426;1146;33;2393;734;688;175;257;255;60;21;;36;116;;;;15;;;17;;;19;;
08315014 Bollschweil;1777;961;816;0;1316;767;5;1311;531;300;68;121;102;66;18;;19;29;;;;20;;;25;;;12;;
08315015 Breisach am Rhein, Stadt;10918;7163;3755;0;6739;3544;65;6674;2421;1663;487;847;546;231;44;;105;162;;;;69;;;59;;;40;;
08315016 Breitnau;1302;866;436;0;924;405;14;910;354;232;59;66;94;31;11;;12;21;;5;;5;;;8;;;4;8;
08315020 Buchenbach;2388;1456;932;0;1792;876;10;1782;555;627;82;188;100;43;14;;22;55;;1;;44;;;24;;;17;10;
08315022 Buggingen;3232;2115;1117;0;2101;1044;21;2080;766;443;159;219;196;79;24;;44;68;;;;23;;;28;;;31;;
08315028 Ebringen;2200;1198;1002;0;1635;966;10;1625;617;437;87;153;123;63;12;;30;49;;;;12;;;32;;;10;;
08315030 Eichstetten am Kaiserstuhl;2552;1648;904;0;1826;866;4;1822;605;469;128;169;216;44;20;;33;67;;;;19;;;20;;;32;;
08315031 Eisenbach (Hochschwarzwald);1557;1144;413;0;1045;398;12;1033;381;280;88;95;86;20;3;;9;24;;6;;18;;;10;;;12;1;
08315033 Eschbach;1710;1173;537;0;1065;515;10;1055;432;209;84;88;100;27;11;;22;40;;;;13;;;15;;;14;;
08315037 Feldberg (Schwarzwald);1196;731;465;0;785;449;7;778;250;206;63;90;90;26;6;;8;20;;1;;6;;;4;;;5;3;
08315039 Friedenweiler;1532;1017;515;0;1007;480;12;995;383;235;75;108;78;15;4;;20;37;;10;;14;;;4;;;11;1;
08315041 Glottertal;2367;1467;900;0;1657;850;11;1646;631;438;115;121;145;33;14;;20;73;;4;;14;;;16;;;12;10;
08315043 Gottenheim;2106;1162;944;0;1519;892;9;1510;531;362;104;216;119;51;6;;13;58;;1;;13;;;23;;;5;8;
08315047 Gundelfingen;8904;5394;3510;0;6464;3335;44;6420;2678;1082;370;825;430;327;81;;100;276;;12;;67;;;89;;;28;55;
08315048 Hartheim am Rhein;3477;2399;1078;0;2153;1027;25;2128;623;653;213;182;183;67;28;;33;95;;;;19;;;18;;;14;;
08315050 Heitersheim, Stadt;4548;2956;1592;0;3083;1525;12;3071;1164;649;189;331;398;96;24;;41;48;;;;26;;;31;;;74;;
08315051 Heuweiler;845;484;361;0;633;344;1;632;236;162;36;49;68;21;8;;12;13;;1;;7;;;9;;;4;6;
08315052 Hinterzarten;1738;1083;655;0;1214;619;1;1213;493;280;57;96;161;40;7;;11;33;;2;;14;;;7;;;3;9;
