Gemeinde;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08117014 Deggingen;4077;2362;1715;0;2835;1640;37;2798;804;926;270;334;252;56;22;;;52;;;;;;;17;;;58;7;
08117015 Donzdorf, Stadt;7898;4608;3290;0;5429;3123;34;5395;1685;1615;493;633;592;82;30;;;106;;;;;;;50;;;83;26;
08117016 Drackenstein;332;263;69;0;211;63;5;206;74;44;26;25;13;6;1;;;11;;;;;;;4;;;2;0;
08117017 Dürnau;1655;984;671;0;1178;644;9;1169;386;291;140;145;110;25;8;;;12;;;;;;;12;;;37;3;
08117018 Ebersbach an der Fils, Stadt;10601;6922;3679;0;6910;3483;33;6877;2009;1840;712;964;611;128;51;;137;223;;;;74;;;50;;;49;29;
08117019 Eislingen/Fils, Stadt;13600;10685;2915;0;7372;2765;67;7305;1833;1811;1093;844;560;165;33;;85;687;;;;65;;;47;;;44;38;
08117020 Eschenbach;1697;1052;645;0;1165;611;8;1157;349;311;118;140;150;21;3;;;25;;;;;;;9;;;25;6;
08117023 Gammelshausen;1067;592;475;0;767;440;2;765;247;176;73;91;107;15;3;;;11;;;;;;;10;;;29;3;
08117024 Geislingen an der Steige, Stadt;16276;12141;4135;0;9188;3871;76;9112;2145;2042;1159;2127;704;310;60;;;339;;;;;;;61;;;117;48;
08117025 Gingen an der Fils;3242;1999;1243;0;2247;1173;20;2227;522;711;264;393;188;38;14;;;49;;;;;;;16;;;23;9;
08117026 Göppingen, Stadt;37208;27236;9972;0;20382;9375;96;20286;6109;5397;2596;2431;1692;450;125;;298;637;;;;208;;;140;;;143;60;
08117028 Gruibingen;1578;1055;523;0;1077;500;14;1063;330;273;115;137;125;19;11;;;25;;;;;;;4;;;20;4;
08117029 Hattenhofen;2275;1424;851;0;1633;815;13;1620;427;406;240;186;237;26;11;;;35;;;;;;;14;;;31;7;
08117030 Heiningen;3807;2394;1413;0;2532;1354;18;2514;778;629;312;349;275;42;12;;;53;;;;;;;17;;;40;7;
08117031 Hohenstadt;599;402;197;0;395;182;2;393;101;136;42;31;46;7;0;;;17;;;;;;;2;;;2;9;
08117033 Kuchen;4067;2521;1546;0;2565;1477;14;2551;670;674;274;533;210;66;7;;;67;;;;;;;16;;;27;7;
08117035 Mühlhausen im Täle;759;509;250;0;514;236;4;510;136;156;74;47;54;14;2;;;11;;;;;;;7;;;4;5;
08117037 Ottenbach;1887;1189;698;0;1361;663;14;1347;356;425;155;125;198;16;5;;;35;;;;;;;8;;;21;3;
08117038 Rechberghausen;4135;2354;1781;0;2774;1706;17;2757;789;763;321;344;264;43;11;;41;94;;;;38;;;21;;;21;7;
08117042 Salach;5312;3721;1591;0;3302;1505;32;3270;797;975;367;496;346;95;18;;;71;;;;;;;32;;;57;16;
08117043 Schlat;1345;772;573;0;968;542;8;960;282;275;101;115;100;23;9;;;27;;;;;;;6;;;17;5;
08117044 Schlierbach;2856;1766;1090;0;1940;1055;14;1926;559;582;196;167;225;30;10;;29;76;;;;15;;;15;;;19;3;
08117049 Süßen, Stadt;6822;4823;1999;0;4319;1923;32;4287;1208;1069;539;659;499;113;31;;;59;;;;;;;24;;;58;28;
08117051 Uhingen, Stadt;9957;7346;2611;0;6316;2485;42;6274;1729;1488;856;835;659;128;40;;101;204;;;;59;;;78;;;71;26;
08117053 Wäschenbeuren;3100;1738;1362;0;2173;1321;13;2160;556;722;235;262;180;35;6;;34;77;;;;12;;;19;;;19;3;
08117055 Wangen;2484;1407;1077;0;1691;1021;13;1678;522;416;168;250;165;17;5;;26;62;;;;22;;;12;;;11;2;
08117058 Wiesensteig, Stadt;1436;850;586;0;942;570;7;935;212;366;108;113;73;17;5;;;21;;;;;;;6;;;13;1;
08117060 Zell unter Aichelberg;2429;1448;981;0;1766;935;8;1758;533;499;193;138;208;49;16;;;46;;;;;;;19;;;45;12;
08117061 Lauterstein, Stadt;1964;1154;810;0;1332;762;12;1320;339;407;188;143;153;25;11;;;33;;;;;;;3;;;13;5;
08118001 Affalterbach;3256;1931;1325;0;2284;1277;16;2268;722;627;222;243;274;32;25;;24;43;;;;34;2;;3;;;10;7;
08118003 Asperg, Stadt;8966;5295;3671;0;6140;3524;41;6099;2158;1450;525;654;617;232;38;;84;203;;;;46;;;64;;;28;;
08118006 Benningen am Neckar;4542;2846;1696;0;3189;1622;18;3171;1158;733;264;357;345;87;12;;53;93;;;;19;7;;16;;;15;12;
08118007 Besigheim, Stadt;8765;5676;3089;0;5976;2955;40;5936;2155;1382;520;563;627;167;29;;133;170;;;;74;18;;35;;;38;25;
08118010 Bönnigheim, Stadt;5418;3532;1886;0;3620;1789;31;3589;1264;810;318;349;411;123;23;;76;119;;;;45;;;12;;;26;13;
08118011 Ditzingen, Stadt;16100;9690;6410;0;11210;6026;49;11161;3882;3075;867;981;1174;313;81;;166;380;;;;113;;;54;;;38;37;
08118012 Eberdingen;4702;2976;1726;0;3330;1646;16;3314;1104;839;389;242;365;88;19;;58;128;;;;43;;;12;;;21;6;
08118014 Erdmannhausen;3757;2092;1665;0;2636;1598;22;2614;933;623;255;280;261;76;22;;35;58;;;;34;9;;8;;;9;11;
08118015 Erligheim;2091;1279;812;0;1438;780;9;1429;452;384;165;123;156;42;9;;23;28;;;;21;0;;6;;;11;9;
08118016 Freudental;1845;1055;790;0;1291;740;5;1286;413;310;115;150;143;33;5;;34;39;;;;16;6;;8;;;9;5;
08118018 Gemmrigheim;2922;1856;1066;0;1833;1006;13;1820;532;517;233;144;219;37;14;;32;40;;;;16;4;;3;;;16;13;
08118019 Gerlingen, Stadt;13758;8531;5227;0;9806;4957;41;9765;3608;2459;573;957;1212;268;93;;131;272;;;;63;;;55;;;41;33;
08118021 Großbottwar, Stadt;5873;3840;2033;0;3978;1960;18;3960;1176;1089;381;381;491;106;20;;63;129;;;;41;10;;19;;;37;17;
08118027 Hemmingen;5449;3470;1979;0;3583;1900;20;3563;1106;927;361;354;376;101;21;;89;126;;;;41;;;22;;;19;20;
08118028 Hessigheim;1681;1070;611;0;1188;580;7;1181;344;382;117;77;110;28;11;;28;32;;;;24;11;;4;;;10;3;
08118040 Kirchheim am Neckar;3523;2348;1175;0;2213;1137;22;2191;715;627;200;211;206;83;14;;26;50;;;;14;4;;16;;;12;13;
08118046 Kornwestheim, Stadt;20903;14413;6490;0;13013;6153;87;12926;4203;2958;1240;1676;1466;529;67;;214;333;;;;86;;;82;;;72;;
08118047 Löchgau;3901;1784;2117;0;2747;2025;22;2725;989;685;248;265;246;60;10;;35;70;;;;59;11;;13;;;21;13;
08118048 Ludwigsburg, Stadt;58730;39301;19427;2;36854;18163;198;36656;13680;7506;2801;4135;4030;1886;215;;698;810;;;;334;;;345;;;216;;
08118049 Marbach am Neckar, Stadt;10629;7619;3010;0;6729;2865;17;6712;2613;1397;495;816;651;234;80;;85;165;;;;62;12;;36;;;33;33;
08118050 Markgröningen, Stadt;9501;5887;3614;0;6331;3439;43;6288;2329;1388;635;589;640;161;60;;109;232;;;;65;;;24;;;29;27;
08118051 Möglingen;7375;4831;2544;0;4769;2431;21;4748;1523;1146;465;616;471;158;48;;80;143;;;;27;;;34;;;37;;
08118053 Mundelsheim;2415;1316;1099;0;1724;1063;7;1717;498;542;166;120;205;61;14;;27;41;;;;14;2;;2;;;11;14;
08118054 Murr;4696;2586;2110;0;3183;2048;15;3168;988;821;344;358;344;66;21;;40;105;;;;25;7;;11;;;21;17;
08118059 Oberriexingen, Stadt;2404;1522;882;0;1759;844;7;1752;637;401;162;163;183;32;19;;30;82;;;;14;;;13;;;12;4;
08118060 Oberstenfeld;5461;3566;1895;0;3823;1800;23;3800;1181;1056;406;348;471;63;26;;46;102;;;;31;13;;12;;;31;14;
